,title,discountPriceInfo_0_originalRetailPrice_0___value__,isMultiVariationListing,listingInfo_0_watchCount,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0___value__,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shippingServiceCost_0___value__,topRatedListing,Discount_amount,DiscountPercentage,condition_0_conditionDisplayName_Excellent - Refurbished,condition_0_conditionDisplayName_For parts or not working,condition_0_conditionDisplayName_Good - Refurbished,condition_0_conditionDisplayName_New,condition_0_conditionDisplayName_Open box,condition_0_conditionDisplayName_Used,condition_0_conditionDisplayName_Very Good - Refurbished,primaryCategory_0_categoryName_Cell Phones & Smartphones,primaryCategory_0_categoryName_Memory Cards,"primaryCategory_0_categoryName_Mice, Trackballs & Touchpads",primaryCategory_0_categoryName_PC Laptops & Netbooks,Normalized_Discount,Demand_Score
75,"Lenovo ThinkPad T480 14"" FHD i5 8350u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop",244.99,0,621,1,244.99,2,0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,True,0.0,310.49999984475
76,Lenovo 100W Gen 3 Laptop – Open BOX – Model 82HY – WIN 11,99.0,0,34,1,99.0,1,0,0.0,0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,True,0.0,33.999999966
77,"Lenovo Laptop PC Computer 11.6"" Windows 10 Intel 4GB RAM 64GB SSD WiFi",92.56,0,851,1,92.56,2,0,0.0,0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,True,0.0,425.49999978725
78,HP ProBook Laptop PC 14 Core i5 16GB RAM 512GB Windows 11 Pro TOUCHSCREEN OFFICE,599.88,0,181,1,599.88,3,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,60.33333331322222
79,"Acer Aspire 3 - 15.6"" Laptop AMD Ryzen 7 5700U 1.80GHz 16GB RAM 512GB SSD W11H",599.99,0,101,1,261.43,3,0,0.0,0,338.56,56.42760712678545,False,False,False,False,False,True,False,False,False,False,True,0.564276071266914,33.666666655444445
80,"SGIN 15.6"" FHD Laptop Intel Celeron Quad-Core with 12GB Memory 1024GB eMMC 1080P",209.0,0,388,1,209.0,3,1,0.0,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,129.3333332902222
81,Dell Latitude 2-in-1 5289 Core i5-7200U 8GB RAM 256GB SSD Windows 11 Touchscreen,149.0,0,319,1,149.0,2,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,159.49999992025
82,"HP 17.3"" FHD Notebook AMD Ryzen 5 7430U 8GB RAM 256GB SSD Natural Silver",599.99,0,1073,1,349.99,2,0,0.0,0,250.0,41.66736112268538,False,False,False,True,False,False,False,False,False,False,True,0.4166736112261593,536.49999973175
83,"Acer Aspire 3 - 15.6"" Touchscreen Laptop AMD Ryzen 5 7520U 2.80GHz 16GB 1TB W11H",499.99,0,505,1,327.59,3,0,0.0,0,172.40000000000003,34.48068961379228,False,False,False,False,False,False,False,False,False,False,True,0.3448068961372332,168.3333332772222
84,"Lenovo chromebook 11.6"" Intel 1.60 GHz 4 GB RAM 16 GB eMMC Bluetooth Webcam SD",79.99,1,1066,1,79.99,1,0,0.0,1,0.0,0.0,False,False,False,False,False,False,True,False,False,False,True,0.0,1065.999998934
85,Lenovo ThinkPad T14 Laptop 14” FHD Core i5-1135G7 32GB RAM 1TB SSD Windows 11,449.54,0,280,1,449.54,2,0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,True,0.0,139.99999993
86,"Microsoft Surface Pro 5 1807 12.3"" i5-7300U 2.60GHz 8GB RAM 256GB SSD LTE W10P G",149.99,0,187,1,149.99,1,0,0.0,1,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,0.0,186.999999813
87,"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",166.0,0,1280,1,166.0,1,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,1279.99999872
88,"Acer Chromebook CB715-1W 15.6” (128GB SSD, Intel Core i3-8130U, 2.2GHz, 8GB RAM)",89.95,0,21,1,89.95,1,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,20.999999979
89,"Acer Aspire 3 - 15.6"" Laptop Intel Core i3-1215U 3.30GHz 8GB RAM 256GB SSD W11H",399.99,0,137,1,229.31,1,0,0.0,1,170.68,42.67106677666942,False,False,False,False,False,False,False,False,False,False,True,0.4267106677656274,136.999999863
90,"SGIN 17.3"" Laptop 8GB RAM 256GB SSD Celeron Quad-Core Up to 2.6GHz HD 1080P",225.0,0,100,1,225.0,3,0,0.0,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,33.333333322222224
91,Dell Inspiron 15.6 Touchscreen Laptop Ryzen 7 7730U 16GB 512GB SSD i3535-A813BLK,319.0,0,61,1,319.0,1,0,0.0,0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,True,0.0,60.999999939
92,"HP Elitebook X360 1040 G6, 14"", i7-8665U, 16GB RAM, 512GB SSD, Touch, (Renewed)",3549.0,0,343,1,310.0,2,0,0.0,0,3239.0,91.26514511129896,True,False,False,False,False,False,False,False,False,False,True,0.9126514511127324,171.49999991425
93,HP Victus 15.6 144Hz Gaming Laptop Intel i7-13620H 16GB RAM 512GB SSD RTX 4060,1299.99,0,523,1,859.99,2,0,0.0,0,440.0,33.84641420318618,False,False,False,True,False,False,False,False,False,False,True,0.3384641420316014,261.49999986924996
94,ASUS C202 Chromebook Celeron N3060 1.6GHz 4GB RAM 16GB SSD w/charger,29.99,0,2240,1,29.99,1,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,2239.99999776
95,"NEW HP 15.6"" Full HD Intel Core i3 8GB 256GB SSD Windows 11 Laptop Bundle",479.99,0,13011,1,299.99,1,1,0.0,1,180.0,37.50078126627638,False,False,False,True,False,False,False,False,False,False,True,0.3750078126619825,13010.999986989
96,"HP - 14"" Chromebook Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Modern ...",299.0,0,86,1,299.0,2,1,0.0,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,42.9999999785
97,"Dell Latitude 5400 14"" Chromebook P98G005 w/Cel 2.20GHz/4GB/128GB - Used",39.0,0,57,1,39.0,1,0,0.0,0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,0.0,56.999999943
98,"Lenovo Laptop PC Computer 11.6"" Intel Celeron Windows 10 4GB RAM 64GB SSD WiFi",82.62,0,1720,1,82.62,2,0,0.0,0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,True,0.0,859.99999957
99,"SGIN 15.6"" Laptop 12GB RAM 512GB SSD Intel Celeron Quad-Core 1080P Up to 2.9 GHz",189.0,0,109,1,189.0,3,0,0.0,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,0.0,36.33333332122222
100,Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished,164.95,1,1380,1,164.95,1,1,0.0,1,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,0.0,1379.9999986199998
101,BLU C5L Max (C0170WW) 16GB / 32GB (GSM Unlocked) Dual SIM Android Smartphone,30.99,1,83,1,30.99,0,0,0.0,1,0.0,0.0,False,False,False,False,False,True,False,True,False,False,False,0.0,83000000000.0
102,Samsung Galaxy S21 Ultra 5G 128GB G998U Unlocked - Excellent,264.99,1,3464,1,264.99,0,0,0.0,1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,0.0,3464000000000.0
