title,condition_0_conditionDisplayName,discountPriceInfo_0_originalRetailPrice_0___value__,isMultiVariationListing,listingInfo_0_watchCount,primaryCategory_0_categoryName,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0___value__,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shippingServiceCost_0___value__,topRatedListing,Discount_amount,DiscountPercentage
"['ASUS - TUF 15.6"" Gaming Laptop - Intel Core i7 with 16GB Memory - NVIDIA GeFo...']",['New'],1399.99,['false'],['1037'],['PC Laptops & Netbooks'],['true'],999.99,['2'],['true'],0.0,['false'],400.0,28.571632654518957
"['Laptop Dell Latitude 5410 14"" i5-10210U RAM 16GB, SSD 512GB  Win11Pro - Cam']",['Used'],159.12,['false'],['47'],['PC Laptops & Netbooks'],['true'],159.12,['3'],['false'],6.0,['false'],0.0,0.0
"['HP EliteBook 840 G3 14"" i5 - 8GB DDR4 256GB /512GB SSD Silver-C']",['Used'],86.0,['true'],['6'],['PC Laptops & Netbooks'],['true'],86.0,['1'],['false'],0.0,['true'],0.0,0.0
"['Lenovo ThinkPad T14s Gen 1 14"" Core i5 16GB SSD 256GB Black 2020 - Used Good']",['Used'],154.99,['false'],['358'],['PC Laptops & Netbooks'],['true'],154.99,['1'],['false'],0.0,['true'],0.0,0.0
"['Getac V110 G3 11.6"" Touchscreen Laptop i5-6200U 2.3GHz 8GB 128GB SSD W10']",['Used'],150.0,['false'],['19'],['PC Laptops & Netbooks'],['true'],150.0,['0'],['false'],0.0,['true'],0.0,0.0
"['HP EliteBook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3 GHz 32GB 512GB W11P']",['Certified - Refurbished'],1299.99,['false'],['1888'],['PC Laptops & Netbooks'],['true'],359.99,['1'],['true'],0.0,['true'],940.0,72.30824852498866
['Dell Latitude LAPTOP 14” HD NOTEBOOK PC i5-8265U UP TO 32GB 2TB M.2 WIN 10 OR 11'],['Used'],159.0,['true'],['5'],['PC Laptops & Netbooks'],['true'],159.0,['3'],['false'],0.0,['false'],0.0,0.0
"['Dell Latitude 5410 14"" Laptop Core i5 4-Core 16GB RAM 256GB SSD Windows 11 Pro']",['Excellent - Refurbished'],239.75,['false'],['1130'],['PC Laptops & Netbooks'],['true'],239.75,['2'],['false'],0.0,['false'],0.0,0.0
"['HP Elitebook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3GHz 32GB 512GB W11P']",['Excellent - Refurbished'],499.99,['false'],['173'],['PC Laptops & Netbooks'],['true'],339.99,['1'],['false'],0.0,['true'],160.0,32.00064001280026
"['Lenovo ThinkPad X1 Carbon Gen 9 14"" Laptop Intel i7-1185G7 16GB 256GB SSD W11P']",['Certified - Refurbished'],667.49,['false'],['67'],['PC Laptops & Netbooks'],['true'],434.99,['2'],['false'],0.0,['false'],232.5,34.83198250161051
"['Lenovo Ideapad 1 15Amn7 15.6"" Laptop Ryzen 3 7320U 8GB 256GB SSD W11H-64']",['Certified - Refurbished'],314.99,['false'],['551'],['PC Laptops & Netbooks'],['true'],204.99,['2'],['false'],0.0,['false'],110.0,34.9217435474142
